DATE,MKTGDPJPA646NWDB
1/1/1960,44307342950
1/1/1961,53508617739
1/1/1962,60723018684
1/1/1963,69498131797
1/1/1964,81749006382
1/1/1965,90950278258
1/1/1966,1.06E+11
1/1/1967,1.24E+11
1/1/1968,1.47E+11
1/1/1969,1.72E+11
1/1/1970,2.13E+11
1/1/1971,2.40E+11
1/1/1972,3.18E+11
1/1/1973,4.32E+11
1/1/1974,4.80E+11
1/1/1975,5.22E+11
1/1/1976,5.86E+11
1/1/1977,7.21E+11
1/1/1978,1.01E+12
1/1/1979,1.06E+12
1/1/1980,1.11E+12
1/1/1981,1.22E+12
1/1/1982,1.13E+12
1/1/1983,1.24E+12
1/1/1984,1.32E+12
1/1/1985,1.40E+12
1/1/1986,2.08E+12
1/1/1987,2.53E+12
1/1/1988,3.07E+12
1/1/1989,3.05E+12
1/1/1990,3.13E+12
1/1/1991,3.58E+12
1/1/1992,3.91E+12
1/1/1993,4.45E+12
1/1/1994,4.91E+12
1/1/1995,5.45E+12
1/1/1996,4.83E+12
1/1/1997,4.41E+12
1/1/1998,4.03E+12
1/1/1999,4.56E+12
1/1/2000,4.89E+12
1/1/2001,4.30E+12
1/1/2002,4.12E+12
1/1/2003,4.45E+12
1/1/2004,4.82E+12
1/1/2005,4.76E+12
1/1/2006,4.53E+12
1/1/2007,4.52E+12
1/1/2008,5.04E+12
1/1/2009,5.23E+12
1/1/2010,5.70E+12
1/1/2011,6.16E+12
1/1/2012,6.20E+12
1/1/2013,5.16E+12
1/1/2014,4.85E+12
1/1/2015,4.39E+12
1/1/2016,4.93E+12
1/1/2017,4.86E+12
1/1/2018,4.97E+12